"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: diciembre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 22/abr/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","05/12/2018","8","2149.4653","44.9961","28.0639","2539.413","18139.9837","221.6478","609.4383","1275.8006","1545.9476","4801.9452","1672.6535"
"SEN","05/12/2018","9","2237.2043","544.254","30.5463","2536.4589","18256.8323","219.7306","605.982","1892.9867","1546.6523","4780.1242","1674.176"
"SEN","05/12/2018","10","2263.6467","924.7494","29.0506","2533.2193","18599.8962","219.2863","600.7204","1790.3858","1546.8066","4749.7398","1677.5679"
"SEN","05/12/2018","11","2365.5688","1059.3203","28.1782","2530.4651","18528.0254","244.3094","599.7724","2101.1405","1546.6069","4701.6025","1726.4735"
"SEN","05/12/2018","12","2480.9864","1118.2195","31.2919","2511.909","18792.4827","248.5554","599.4939","2257.7886","1546.8578","4651.5074","1756.3542"
"SEN","05/12/2018","13","2467.1597","1090.4813","28.9646","2514.3398","18670.1839","274.4089","604.3754","2438.5466","1546.5245","4676.7418","1733.0638"
"SEN","05/12/2018","14","2490.6946","1286.3987","29.6683","2513.413","18597.6417","296.8118","604.5615","2322.3737","1546.5807","4608.7903","1718.1922"
"SEN","05/12/2018","15","2513.8965","1331.6241","28.4448","2506.1852","18666.4292","309.5218","604.8816","2191.5084","1546.173","4637.7069","1730.3136"
"SEN","05/12/2018","16","2512.2372","1175.7325","26.9134","2506.4605","18740.2415","259.3331","605.3275","2133.26","1546.3308","4663.0136","1747.4283"
"SEN","05/12/2018","17","2454.8836","915.9897","29.6239","2506.2936","19048.0792","256.0472","605.487","2452.3493","1546.3812","4661.8284","1792.9006"
"SEN","05/12/2018","18","2454.1547","175.9545","29.0429","2514.6758","19409.7645","259.0174","611.4093","3124.1893","1546.3688","4760.584","1885.4114"
"SEN","05/12/2018","19","2499.2562","0.2063","28.5844","2514.385","19732.3125","260.6248","612.2963","4110.0891","1546.3758","4873.1434","1926.4807"
