"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: marzo 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/jul/2019 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","19/03/2019","23","2859.3441","0","21.2089","3195.1643","18950.0482","293.4073","591.529","2338.888","1477.5797","3742.7047","1526.3407"
"SEN","19/03/2019","24","2744.4317","0","21.5077","2985.4611","18609.9643","291.1508","589.6953","1891.5134","1477.42","3318.916","1492.0308"
"SEN","20/03/2019","1","2671.4319","0","23.3702","2444.4473","18091.5531","288.0493","593.046","1489.1897","1477.5563","3198.1213","1443.6636"
"SEN","20/03/2019","2","2503.8051","0","21.2288","2429.1389","17581.0673","277.0561","593.027","1368.6998","1477.763","3199.0279","1181.1375"
"SEN","20/03/2019","3","2415.3155","0","21.173","2496.6069","17113.0205","277.2165","595.4332","1223.427","1476.6495","3241.384","1176.2863"
"SEN","20/03/2019","4","2280.5882","0","18.1252","2523.4269","16904.4365","278.7239","595.2207","1088.1104","1475.4151","3220.7588","1174.1284"
"SEN","20/03/2019","5","2182.2161","0","18.0398","2585.8563","17106.8061","278.3998","594.8944","1104.395","1475.4334","3246.3301","1173.669"
"SEN","20/03/2019","6","2079.0537","0","22.1948","2820.4003","17930.4676","276.5989","595.3327","1168.4813","1475.981","3235.6901","1198.3208"
"SEN","20/03/2019","7","2006.5745","3.3657","16.4153","3269.2617","18596.8792","280.5488","595.5","1240.8263","1476.7674","3378.7054","1468.0709"
"SEN","20/03/2019","8","1987.3394","335.673","16.4553","3355.1772","18876.5457","280.3079","595.5723","1174.8496","1476.0007","3766.0976","1498.4687"
"SEN","20/03/2019","9","2071.0018","1402.8412","19.1121","3409.8942","18505.3111","279.3306","595.2565","916.1218","1475.1073","4353.9341","1528.5346"
"SEN","20/03/2019","10","2157.0348","1926.3281","17.9386","3404.0836","18663.4592","280.8574","590.6497","1194.0177","1474.0225","4456.236","1578.5359"
"SEN","20/03/2019","11","2182.037","1959.703","17.5109","3348.6199","18785.3138","278.2944","587.5808","1586.2193","1447.2461","4440.7431","1558.5583"
