"SEN","10/08/2019","9","1547.9996","904.5335","3.5903","3495.4645","21404.2085","354.6247","585.6213","1264.1172","1249.0683","4709.2133","2225.1471"
"SEN","10/08/2019","10","1393.4754","2026.2399","3.5882","3491.9783","21128.4292","353.8711","595.1171","2030.8611","1246.8333","4574.0717","2222.9403"
"SEN","10/08/2019","11","1384.2702","2628.9902","3.5679","3575.0539","21206.0561","354.2035","604.9059","2199.2441","1245.3256","4617.6766","2178.8607"
"SEN","10/08/2019","12","1433.2916","2776.5386","3.5834","3576.2507","21579.7919","353.3514","610.8208","2243.1191","1244.0523","4907.8748","2181.6328"
"SEN","10/08/2019","13","1501.1725","2889.3082","3.6752","3587.2686","21647.3346","350.9054","610.065","1975.013","1242.7277","5376.3943","2208.036"
"SEN","10/08/2019","14","1682.5939","2925.9502","3.5589","3630.7628","21694.5544","349.7752","610.279","1958.0647","1240.301","5359.5851","2203.2315"
"SEN","10/08/2019","15","1790.8518","2827.0637","3.7383","3627.3331","21571.5023","350.1165","610.9648","1768.5102","1237.5535","5321.0162","2202.5347"
"SEN","10/08/2019","16","1996.2108","2702.2882","3.7158","3680.4737","21453.1041","350.5126","610.7164","1923.9139","1235.8448","5296.3555","2164.9185"
"SEN","10/08/2019","17","2013.8052","2377.4928","3.7058","3682.6898","21391.766","348.0011","611.088","2386.449","1233.838","5261.0669","2179.4557"
"SEN","10/08/2019","18","1982.0653","1895.7303","3.658","3679.1321","21353.0598","340.6657","590.7987","2764.9555","1231.3183","5275.0815","2200.08"
"SEN","10/08/2019","19","1969.8902","1553.8456","3.6211","3646.095","21256.001","345.3268","586.9751","2751.9087","1229.0795","5236.4524","2209.0229"
"SEN","10/08/2019","20","2156.8346","825.647","3.6194","3674.5928","21403.6111","349.2711","588.2563","3053.4996","1229.9052","5289.9797","2218.6743"
"SEN","10/08/2019","21","2193.4944","143.0296","3.6228","3693.7581","21682.9735","357.5375","590.192","4491.855","1232.4798","5739.6365","2283.2487"
"SEN","10/08/2019","22","2140.158","1.4902","3.6148","3654.3069","21888.998","356.0787","588.5194","4646.432","1236.8175","5790.8759","2305.6986"
"SEN","10/08/2019","23","1957.3639","0","3.5842","3647.7187","21983.7284","358.2407","587.153","4051.276","1241.4796","5757.4948","2311.9217"
"SEN","10/08/2019","24","2044.6699","0","3.592","3604.3691","22044.4629","360.3945","584.5222","2727.4549","1245.4949","5766.7469","2319.4566"
"SEN","11/08/2019","1","2249.3924","0","3.6094","3485.899","21393.3685","359.739","585.2645","1828.053","1250.1728","5813.7245","2286.7508"
"SEN","11/08/2019","2","2253.8157","0","3.6114","3544.5078","20769.454","359.7466","586.1541","1223.3455","1256.2932","5635.4433","2281.744"
"SEN","11/08/2019","3","2224.255","0","3.6055","3360.5727","20686.8598","359.4303","589.2039","837.3223","1260.0608","5117.1771","2262.0233"
"SEN","11/08/2019","4","2105.1274","0","3.6163","2783.9469","20769.575","358.5768","591.108","822.4736","1263.1572","4962.5326","2176.4999"
"SEN","11/08/2019","5","2012.4941","0","3.6161","2661.2117","20352.0723","359.6834","591.5172","769.5772","1265.9245","4972.9187","2127.4541"
"SEN","11/08/2019","6","1914.7638","0","3.6072","2604.6186","19987.7798","360.8595","594.0103","1060.2196","1267.2962","4921.4225","2064.4814"
"SEN","11/08/2019","7","1938.577","5.3638","3.6177","2349.2532","19524.62","359.7168","593.0916","1243.5717","1267.9595","4866.8449","2013.1872"
"SEN","11/08/2019","8","2128.8143","72.0448","3.5742","2330.5991","18853.4213","360.3103","591.7326","1469.2248","1268.9287","4577.6021","1912.0528"
"SEN","11/08/2019","9","2233.1492","955.1659","3.6203","2317.7293","18582.3665","360.935","589.1384","979.9807","1269.6174","4343.8094","1898.8623"
"SEN","11/08/2019","10","2392.0886","2168.6697","3.6211","2325.6574","18138.7646","359.7891","587.4271","1069.6805","1269.5861","4283.744","1883.7057"
"SEN","11/08/2019","11","2423.3715","2679.8045","3.6508","2331.421","18271.6545","359.3986","587.0808","1160.8944","1264.7676","4322.7557","1871.7739"
"SEN","11/08/2019","12","2555.9913","2879.9278","3.6627","2337.3248","18275.5349","358.9653","588.8939","1563.2773","1259.1484","4310.4253","1892.3656"
"SEN","11/08/2019","13","2577.4433","3006.8711","3.5424","2337.0535","18742.6067","358.8434","588.5998","1575.7407","1255.0541","4348.5814","1967.4316"
"SEN","11/08/2019","14","2399.04","3063.1661","3.5202","2328.2093","19381.2982","361.2966","589.405","1474.4404","1251.9942","4325.1626","2035.5744"
"SEN","11/08/2019","15","2459.8399","2958.06","3.6157","2327.0989","19449.2818","362.378","589.4436","1840.3025","1249.243","4315.0998","2031.3309"
"SEN","11/08/2019","16","2333.8066","2908.3253","3.547","2258.917","19674.8923","360.7813","589.1249","2121.065","1246.5921","4374.0281","2061.2888"
"SEN","11/08/2019","17","2222.6563","2582.767","3.544","2137.3963","20093.7299","360.7097","590.5611","2372.7792","1244.4883","4405.7784","2122.723"
