"SEN","11/01/2019","18","2292.718","325.9685","25.9826","2719.023","18406.0041","411.9297","582.0772","3431.7391","1449.0094","2907.9869","1984.3146"
"SEN","11/01/2019","19","2148.5699","11.4916","25.3984","2720.4448","18852.7662","427.8946","591.3889","3970.2276","1448.5388","3012.0965","1994.6331"
"SEN","11/01/2019","20","1881.3188","0","25.6063","2718.2892","19218.9465","414.6492","597.731","4729.4068","1448.5891","3124.7572","2007.296"
"SEN","11/01/2019","21","1516.5452","0","24.4545","2720.0172","19098.8398","399.8184","598.096","4770.2931","1448.777","3115.084","1985.976"
"SEN","11/01/2019","22","1241.4878","0","26.27","2721.8865","18904.7484","399.1285","597.4173","4161.2688","1448.2122","3085.0367","1988.1533"
"SEN","11/01/2019","23","963.6358","0","26.4912","2721.5777","18797.5425","396.7058","597.0152","3477.3546","1448.8844","2991.8824","1990.7081"
"SEN","11/01/2019","24","809.962","0","26.3658","2721.7922","18434.8343","391.4896","598.4582","2792.8078","1449.8131","2946.2252","1971.8493"
"SEN","12/01/2019","1","695.9903","0","27.2105","2720.917","17741.1117","378.3542","599.3574","1872.2662","1450.2096","2817.1705","1937.2254"
"SEN","12/01/2019","2","531.3903","0","27.1076","2719.4541","17564.7859","369.0551","600.3948","1157.5528","1450.381","2735.535","1923.0837"
"SEN","12/01/2019","3","560.029","0","26.0497","2661.1355","17352.0297","363.343","600.5584","911.1996","1451.33","2656.8103","1900.4741"
"SEN","12/01/2019","4","615.3253","0","25.7293","2450.9307","17127.9401","359.1631","600.2705","795.2551","1450.8878","2640.7018","1886.743"
"SEN","12/01/2019","5","553.9759","0","22.3872","2423.6989","17096.3397","317.5183","601.0317","1107.976","1450.9052","2664.3271","1836.9681"
"SEN","12/01/2019","6","485.5285","0","24.484","2658.4422","17073.3869","353.8482","601.0265","989.7644","1450.9676","2646.6811","1883.2045"
"SEN","12/01/2019","7","399.7699","0.048","24.0958","2658.045","17725.7795","363.4309","601.6827","1363.605","1451.691","2730.2284","1932.2367"
