"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: noviembre 2019"
"Proceso de Liquidacion: Re-Liquidacion Intermedia (L2) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 21/mar/2020 05:10:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","09/11/2019","10","2560.9463","2452.2879","2.3126","1303.1367","18710.9433","381.0242","508.1207","1447.1416","1554.1176","3609.7843","1299.0211"
"SEN","09/11/2019","11","2469.7146","2826.719","2.3326","1301.2007","19177.3061","370.8566","507.8998","1881.133","1553.5851","3580.199","1253.184"
"SEN","09/11/2019","12","2460.6206","3062.7665","2.8865","1289.5346","19216.4027","366.9356","506.0631","1764.4046","1553.5893","3802.9261","1234.213"
"SEN","09/11/2019","13","2448.948","3088.6474","2.8889","1333.2579","19350.9283","383.4648","503.6267","1730.7716","1553.5117","3926.9391","1241.8969"
"SEN","09/11/2019","14","2408.6364","3070.1674","2.8888","1468.2635","19334.9098","379.6357","501.5419","1726.1079","1553.5116","3842.0978","1219.6717"
"SEN","09/11/2019","15","2364.3209","2717.9179","2.8899","1486.5584","19413.515","381.1623","502.87","1707.7332","1553.0379","3568.5619","1243.5213"
"SEN","09/11/2019","16","2377.5213","2250.6827","2.8928","1435.0558","19535.0476","381.8181","507.1023","1657.3353","1552.4115","3623.1309","1384.1716"
"SEN","09/11/2019","17","2392.0488","1602.6711","2.8649","1515.1437","19675.1718","381.0352","509.6314","1271.5722","1552.343","4129.4094","1534.8893"
"SEN","09/11/2019","18","2418.4644","450.1707","2.8631","1525.8853","19644.2889","382.4529","511.0376","2218.4811","1552.4804","4320.079","1971.1814"
"SEN","09/11/2019","19","2582.1849","8.293","2.8654","1546.6314","19557.0828","391.8403","511.6795","3761.9669","1552.7541","4562.1594","2128.3876"
"SEN","09/11/2019","20","2583.3466","0","2.8679","1574.6536","19544.0903","392.7068","511.6425","3334.4588","1553.598","4779.9758","1978.9542"
"SEN","09/11/2019","21","2366.7526","0","2.8687","1597.573","19541.3778","392.5055","512.5512","2896.2835","1553.3582","4675.8642","1689.5239"
