"SEN","07/09/2019","8","1828.9672","49.5008","3.8854","2984.315","21442.9822","395.526","557.5259","1050.7093","1523.3147","4133.6627","1867.6085"
"SEN","07/09/2019","9","1530.2936","662.329","4.115","3416.3949","21585.2527","380.8637","558.7729","1254.0015","1523.2939","4161.006","1877.0567"
"SEN","07/09/2019","10","1380.374","1676.2779","4.1069","3591.931","21329.4709","372.1557","553.0283","1769.3797","1523.1692","4269.5139","1828.237"
"SEN","07/09/2019","11","1661.9552","2194.0818","4.0992","3328.9677","21399.1737","375.6542","544.233","1724.0262","1474.0968","4831.7388","1822.1272"
"SEN","07/09/2019","12","2116.3405","2537.7516","4.0231","3294.6542","21337.8442","379.1173","545.2362","1318.4791","1445.7881","5210.2007","1882.4331"
"SEN","07/09/2019","13","2315.6129","2622.4373","4.0194","3290.0978","21487.7629","383.7165","543.0841","1221.6175","1467.411","5248.1324","1922.4016"
"SEN","07/09/2019","14","2445.3059","2631.017","4.0232","3287.3612","21445.2089","386.7351","546.5447","1266.4061","1508.8747","5233.4361","1970.2081"
"SEN","07/09/2019","15","2588.3306","2633.1426","4.0246","3278.8657","21393.2333","388.4882","550.6578","1184.6839","1512.0402","5241.4519","1988.8175"
"SEN","07/09/2019","16","2631.4185","2674.2234","4.0239","3259.5041","21474.7533","386.4056","551.3383","1242.6953","1512.0397","4981.2586","2049.3796"
"SEN","07/09/2019","17","2685.3073","2352.1784","4.024","3218.2229","21466.0629","388.6657","550.5253","1577.3282","1511.9389","4745.1711","2033.3303"
"SEN","07/09/2019","18","2696.1216","2100.5817","4.0258","3226.7011","21496.6246","389.5911","548.9161","1533.3379","1503.3995","4719.6862","2052.4803"
"SEN","07/09/2019","19","2493.2901","1616.1648","4.0272","3242.4334","21505.0527","397.4122","547.0193","1592.1976","1503.8433","4691.5392","2074.7377"
"SEN","07/09/2019","20","2503.1757","513.0681","4.0275","3240.0406","21910.2535","397.8738","547.344","2387.8439","1504.7315","4888.4214","2162.3949"
"SEN","07/09/2019","21","2512.5206","10.7785","4.0285","3223.7473","21957.0523","398.78","552.9194","4171.8541","1507.0896","5505.3624","2229.4331"
"SEN","07/09/2019","22","2677.3616","0","4.0296","3199.3794","21830.4762","403.718","556.2325","3849.5266","1509.583","5490.6864","2216.6086"
"SEN","07/09/2019","23","2941.0805","0","4.0312","3210.1203","21835.8334","403.5016","562.0725","2394.9822","1510.5969","5316.0569","2197.2145"
"SEN","07/09/2019","24","2759.7946","0","4.0342","3210.3984","21722.8599","402.5545","560.1602","1597.2773","1511.4193","4776.4264","2181.2801"
"SEN","08/09/2019","1","3193.7399","0","4.0364","2464.9584","21311.3644","401.1353","555.1491","948.6535","1521.5777","4292.2456","2105.343"
"SEN","08/09/2019","2","2948.483","0","4.0368","2166.4618","20788.9246","398.9126","553.8988","832.5885","1522.2402","4083.9826","1933.1183"
"SEN","08/09/2019","3","2384.1263","0","4.0371","2140.2731","20472.5054","399.5392","554.6512","1161.0225","1522.5855","3955.1255","1757.4553"
"SEN","08/09/2019","4","2265.3663","0","4.0375","2135.7998","20283.1958","398.7391","556.792","843.8626","1523.3292","3938.3216","1679.4273"
"SEN","08/09/2019","5","2493.7928","0","4.0378","2130.3257","19623.4937","399.2383","558.9648","745.1087","1523.326","3865.4524","1661.9483"
"SEN","08/09/2019","6","2219.7119","0","4.038","2144.4567","19028.6893","399.1423","560.2929","1125.1098","1523.3057","3911.6317","1660.0741"
"SEN","08/09/2019","7","1740.0635","0.4264","4.0376","2142.046","19153.995","398.2597","556.5469","1383.3422","1523.6058","3910.5996","1654.0567"
"SEN","08/09/2019","8","1613.4532","31.9532","4.038","2128.7381","19271.846","387.9122","557.0136","979.4611","1524.249","3930.0679","1654.4812"
"SEN","08/09/2019","9","1526.3897","817.5277","4.0377","2125.9165","19142.4558","381.9832","555.7699","542.655","1524.3693","3888.0082","1651.3501"
"SEN","08/09/2019","10","1631.8978","1980.0324","4.0325","2150.4668","18879.0417","403.7135","554.6295","694.4733","1523.9328","3824.3198","1674.4033"
"SEN","08/09/2019","11","1961.9087","2658.035","4.0269","2128.1816","18420.8521","405.3458","554.5671","800.4443","1523.3959","3805.6318","1675.58"
"SEN","08/09/2019","12","2418.9882","2887.0629","4.022","2136.6629","18189.8773","403.6452","558.2328","1053.7717","1522.6155","3804.9047","1671.1318"
"SEN","08/09/2019","13","2574.5145","2905.0512","4.0186","2117.4215","18267.5376","400.6648","562.2365","1054.4339","1520.2253","3827.7142","1715.3197"
"SEN","08/09/2019","14","2665.7685","2897.1189","4.0103","2132.0918","18569.1581","399.298","562.436","1290.8927","1517.7544","3896.3913","1803.1539"
"SEN","08/09/2019","15","2759.1586","2666.9245","3.9567","2140.4708","18916.0562","397.3896","562.3052","1473.7702","1515.9038","3877.0277","1761.3252"
"SEN","08/09/2019","16","2772.5059","2605.3723","3.9501","2148.0921","19323.2495","396.8398","560.316","1553.6703","1508.6902","3766.9883","1761.4026"
"SEN","08/09/2019","17","2677.478","2522.5217","3.9506","2141.6773","20057.9165","392.7688","562.1819","1439.5589","1500.1909","3732.5207","1650.4666"
"SEN","08/09/2019","18","2276.8533","2383.4348","3.952","2145.4947","20549.5935","396.3779","561.9524","1429.387","1490.5142","3724.3988","1597.9871"
"SEN","08/09/2019","19","2032.2665","1586.9794","3.9665","2445.5016","21226.3406","397.9354","563.2225","1231.9318","1481.9548","3704.5018","1875.1451"
"SEN","08/09/2019","20","1976.601","467.9866","3.9685","3222.6212","21597.7516","398.0148","566.4875","1739.0681","1480.8697","4327.2979","1946.5543"
"SEN","08/09/2019","21","2062.5797","26.8137","3.9684","3339.422","21699.8286","399.06","568.7657","3647.8407","1480.6055","5090.0132","1995.9074"
"SEN","08/09/2019","22","1934.3301","0","3.9704","3338.5497","21864.5667","401.3904","566.8379","3867.5023","1480.1805","5087.6878","2030.973"
"SEN","08/09/2019","23","2075.2852","0","3.9727","3320.9017","21749.8804","401.9458","559.1539","3064.0108","1481.0405","5051.026","1991.7823"
"SEN","08/09/2019","24","2068.9413","0","3.9752","3311.7652","21654.1462","402.7558","556.4535","1856.8776","1482.8441","4430.5706","2098.7422"
"SEN","09/09/2019","1","1922.7766","0","4.0267","3328.8396","21529.2919","398.8775","558.0146","972.8782","1485.7188","3808.4937","2109.8924"
"SEN","09/09/2019","2","1823.5313","0","4.028","2809.4629","21304.8011","397.8841","558.3779","580.6806","1498.352","3796.8276","2061.1588"
